refuel_id,truck_id,refuel_date,odometer_at_refuel,liters_refueled
RFL-00156,TRK-07,2022-11-16,271074,726.11
RFL-00157,TRK-06,2022-11-18,290781,636.30
RFL-00158,TRK-10,2022-11-18,198951,612.30
RFL-00159,TRK-02,2022-11-19,390552,569.52
RFL-00160,TRK-08,2022-11-19,260118,604.09
RFL-00161,TRK-03,2022-11-20,359759,546.84
RFL-00162,TRK-04,2022-11-20,339014,564.63
RFL-00163,TRK-12,2022-11-20,157329,577.99
RFL-00164,TRK-11,2022-11-21,183274,706.37
RFL-00165,TRK-11,2022-11-22,185590,642.24
RFL-00166,TRK-05,2022-11-26,320460,589.78
RFL-00167,TRK-11,2022-11-26,187680,713.36
RFL-00168,TRK-04,2022-11-27,340953,729.40
RFL-00169,TRK-10,2022-11-27,200885,584.27
RFL-00170,TRK-06,2022-11-29,292556,693.48
RFL-00171,TRK-07,2022-11-30,273205,685.21
RFL-00172,TRK-12,2022-11-30,159394,614.88
RFL-00173,TRK-05,2022-12-02,322366,583.10
RFL-00174,TRK-11,2022-12-02,189429,618.38
RFL-00175,TRK-09,2022-12-06,241580,722.50
RFL-00176,TRK-01,2022-12-10,409139,598.43
RFL-00177,TRK-05,2022-12-16,324266,655.58
RFL-00178,TRK-02,2022-12-24,392247,572.10
RFL-00179,TRK-08,2022-12-25,261901,685.76
RFL-00180,TRK-11,2022-12-26,191274,595.26
RFL-00181,TRK-04,2022-12-29,342940,724.68
RFL-00182,TRK-10,2023-01-04,202666,532.29
RFL-00183,TRK-01,2023-01-09,411061,574.85
RFL-00184,TRK-09,2023-01-14,243760,805.40
RFL-00185,TRK-03,2023-01-15,361273,544.38
RFL-00186,TRK-06,2023-01-19,294164,625.85
RFL-00187,TRK-04,2023-01-27,345018,584.11
RFL-00188,TRK-05,2023-01-27,326347,634.45
RFL-00189,TRK-11,2023-01-29,192863,630.43
RFL-00190,TRK-12,2023-01-29,161240,630.81
RFL-00191,TRK-08,2023-02-06,263961,723.45
RFL-00192,TRK-07,2023-02-09,274971,584.77
RFL-00193,TRK-06,2023-02-22,296264,642.87
RFL-00194,TRK-11,2023-02-22,194833,685.92
RFL-00195,TRK-04,2023-02-25,346768,624.01
RFL-00196,TRK-12,2023-02-25,163202,688.77
RFL-00197,TRK-10,2023-02-27,204463,550.64
RFL-00198,TRK-01,2023-03-01,413043,636.89
RFL-00199,TRK-06,2023-03-01,298156,669.08
RFL-00200,TRK-08,2023-03-02,265924,654.20
RFL-00201,TRK-05,2023-03-04,328515,663.56
RFL-00202,TRK-08,2023-03-05,267637,646.61
RFL-00203,TRK-02,2023-03-06,393909,554.53
RFL-00204,TRK-03,2023-03-07,362852,548.99
RFL-00205,TRK-11,2023-03-08,196658,654.48
RFL-00206,TRK-06,2023-03-09,300076,694.41
RFL-00207,TRK-04,2023-03-11,348479,564.98
RFL-00208,TRK-09,2023-03-11,245827,619.15
RFL-00209,TRK-01,2023-03-13,414647,563.67
RFL-00210,TRK-10,2023-03-13,206387,662.52
RFL-00211,TRK-05,2023-03-14,330954,716.71
RFL-00212,TRK-02,2023-03-17,395516,579.03
RFL-00213,TRK-06,2023-03-17,302132,660.22
RFL-00214,TRK-03,2023-03-19,364279,545.21
RFL-00215,TRK-11,2023-03-19,198224,608.45
RFL-00216,TRK-05,2023-03-21,333015,602.13
RFL-00217,TRK-08,2023-03-22,269489,608.73
RFL-00218,TRK-12,2023-03-22,165193,641.04
RFL-00219,TRK-01,2023-03-23,416493,583.44
RFL-00220,TRK-02,2023-03-23,397296,527.88
RFL-00221,TRK-09,2023-03-24,247700,720.94
RFL-00222,TRK-05,2023-03-25,334823,561.81
RFL-00223,TRK-07,2023-03-26,277226,730.88
RFL-00224,TRK-04,2023-03-28,350131,635.47
RFL-00225,TRK-03,2023-03-29,365612,455.82
RFL-00226,TRK-06,2023-03-29,303905,833.15
RFL-00227,TRK-04,2023-04-01,352082,569.49
RFL-00228,TRK-05,2023-04-01,336647,588.61
RFL-00229,TRK-12,2023-04-02,166715,625.44
RFL-00230,TRK-01,2023-04-05,418291,535.74
RFL-00231,TRK-06,2023-04-05,306412,695.59
RFL-00232,TRK-08,2023-04-05,271186,685.35
RFL-00233,TRK-09,2023-04-05,249322,638.61
RFL-00234,TRK-07,2023-04-06,279201,595.22
RFL-00235,TRK-02,2023-04-08,399017,589.79
RFL-00236,TRK-04,2023-04-09,353707,690.33
RFL-00237,TRK-05,2023-04-09,338250,593.79
RFL-00238,TRK-04,2023-04-12,355950,718.21
RFL-00239,TRK-08,2023-04-12,273160,807.25
RFL-00240,TRK-08,2023-04-13,275650,681.19
RFL-00241,TRK-12,2023-04-13,168724,751.53
RFL-00242,TRK-03,2023-04-15,367359,584.02
RFL-00243,TRK-10,2023-04-15,208574,615.48
RFL-00244,TRK-09,2023-04-17,251443,726.48
RFL-00245,TRK-02,2023-04-18,400767,581.14
RFL-00246,TRK-04,2023-04-18,357861,652.48
RFL-00247,TRK-07,2023-04-19,280986,639.45
RFL-00248,TRK-05,2023-04-20,340225,690.31
RFL-00249,TRK-08,2023-04-21,277371,604.78
RFL-00250,TRK-09,2023-04-22,253595,663.78
RFL-00251,TRK-10,2023-04-24,210232,612.21
RFL-00252,TRK-03,2023-04-25,368944,693.62
RFL-00253,TRK-12,2023-04-26,170968,685.54
RFL-00254,TRK-07,2023-04-27,282918,592.45
RFL-00255,TRK-03,2023-04-29,370825,486.46
RFL-00256,TRK-09,2023-04-29,255468,690.27
RFL-00257,TRK-02,2023-04-30,402682,618.91
RFL-00258,TRK-08,2023-05-03,279335,714.18
RFL-00259,TRK-09,2023-05-04,257098,641.72
RFL-00260,TRK-07,2023-05-05,285137,725.74
RFL-00261,TRK-10,2023-05-05,212569,595.31
RFL-00262,TRK-08,2023-05-07,281193,627.32
RFL-00263,TRK-01,2023-05-08,420148,599.23
RFL-00264,TRK-12,2023-05-08,173224,698.18
RFL-00265,TRK-03,2023-05-11,372453,559.79
RFL-00266,TRK-07,2023-05-13,287029,722.92
RFL-00267,TRK-08,2023-05-13,282993,686.91
RFL-00268,TRK-09,2023-05-13,258872,651.72
RFL-00269,TRK-11,2023-05-13,200423,634.97
RFL-00270,TRK-01,2023-05-16,421978,579.01
RFL-00271,TRK-09,2023-05-16,260692,656.22
RFL-00272,TRK-10,2023-05-16,214364,603.81
RFL-00273,TRK-04,2023-05-20,359404,550.87
RFL-00274,TRK-11,2023-05-22,202472,787.80
RFL-00275,TRK-12,2023-05-22,175486,757.36
RFL-00276,TRK-07,2023-05-23,288850,782.61
RFL-00277,TRK-02,2023-05-25,404416,572.10
RFL-00278,TRK-08,2023-05-25,284942,664.99
RFL-00279,TRK-05,2023-05-27,342528,616.94
RFL-00280,TRK-08,2023-05-28,286650,629.21
RFL-00281,TRK-03,2023-05-29,373878,491.70
RFL-00282,TRK-04,2023-05-29,361299,598.77
RFL-00283,TRK-11,2023-06-01,204312,649.74
RFL-00284,TRK-01,2023-06-03,423571,559.22
RFL-00285,TRK-04,2023-06-05,363235,705.44
RFL-00286,TRK-05,2023-06-05,344300,644.76
RFL-00287,TRK-03,2023-06-06,375420,614.29
RFL-00288,TRK-12,2023-06-07,177351,605.53
RFL-00289,TRK-02,2023-06-10,406267,605.47
RFL-00290,TRK-06,2023-06-10,308038,620.18
RFL-00291,TRK-07,2023-06-10,291200,746.06
RFL-00292,TRK-04,2023-06-11,365235,704.09
RFL-00293,TRK-11,2023-06-11,206226,586.47
RFL-00294,TRK-05,2023-06-13,346286,666.78
RFL-00295,TRK-02,2023-06-14,407547,523.64
RFL-00296,TRK-04,2023-06-15,367532,777.99
RFL-00297,TRK-05,2023-06-16,348335,697.08
RFL-00298,TRK-01,2023-06-19,425370,611.06
RFL-00299,TRK-11,2023-06-21,207994,709.19
RFL-00300,TRK-12,2023-06-21,179011,650.02
RFL-00301,TRK-02,2023-06-22,409346,584.06
RFL-00302,TRK-04,2023-06-22,369920,648.70
RFL-00303,TRK-07,2023-06-22,293379,585.83
RFL-00304,TRK-05,2023-06-23,350712,564.00
RFL-00305,TRK-06,2023-06-23,309969,580.89
RFL-00306,TRK-04,2023-06-26,371530,554.58
RFL-00307,TRK-12,2023-06-26,181047,624.45
RFL-00308,TRK-11,2023-06-27,209989,690.46
RFL-00309,TRK-01,2023-06-30,426965,608.77
RFL-00310,TRK-02,2023-06-30,411484,603.87
RFL-00311,TRK-11,2023-06-30,212124,623.60
RFL-00312,TRK-05,2023-07-01,352316,568.11
RFL-00313,TRK-06,2023-07-01,311451,603.93
RFL-00314,TRK-04,2023-07-04,373414,685.33
RFL-00315,TRK-12,2023-07-04,183291,676.51
RFL-00316,TRK-02,2023-07-05,413105,563.26
RFL-00317,TRK-11,2023-07-07,214298,761.91
RFL-00318,TRK-01,2023-07-10,428945,540.50
RFL-00319,TRK-05,2023-07-10,354166,646.27
RFL-00320,TRK-04,2023-07-11,375418,665.84
RFL-00321,TRK-02,2023-07-12,414386,568.58
RFL-00322,TRK-07,2023-07-12,295352,711.60
RFL-00323,TRK-06,2023-07-14,313123,659.22
RFL-00324,TRK-08,2023-07-14,288659,760.56
RFL-00325,TRK-10,2023-07-14,216052,618.33
RFL-00326,TRK-12,2023-07-14,185489,660.91
RFL-00327,TRK-04,2023-07-16,377214,567.07
RFL-00328,TRK-01,2023-07-17,430806,631.67
RFL-00329,TRK-11,2023-07-17,215961,668.19
RFL-00330,TRK-02,2023-07-20,416161,523.66
RFL-00331,TRK-07,2023-07-23,297003,617.48
RFL-00332,TRK-08,2023-07-23,290452,765.15
RFL-00333,TRK-11,2023-07-23,218187,738.63
RFL-00334,TRK-03,2023-07-24,377051,493.22
RFL-00335,TRK-04,2023-07-24,378924,570.56
RFL-00336,TRK-05,2023-07-24,355966,540.59
RFL-00337,TRK-12,2023-07-24,187034,563.64
RFL-00338,TRK-09,2023-07-26,262768,746.60
RFL-00339,TRK-02,2023-07-27,418031,580.62
RFL-00340,TRK-06,2023-07-27,315043,787.89
RFL-00341,TRK-04,2023-07-28,380786,633.94
RFL-00342,TRK-06,2023-07-28,316985,625.44
RFL-00343,TRK-08,2023-07-28,292019,682.82
RFL-00344,TRK-12,2023-07-28,188924,618.96
RFL-00345,TRK-01,2023-07-29,432747,590.30
RFL-00346,TRK-05,2023-07-29,357512,680.57
RFL-00347,TRK-10,2023-08-01,218045,620.71
RFL-00348,TRK-03,2023-08-02,378864,562.81
RFL-00349,TRK-07,2023-08-02,298882,646.81
RFL-00350,TRK-04,2023-08-03,382865,673.71
RFL-00351,TRK-05,2023-08-04,359750,564.78
RFL-00352,TRK-09,2023-08-04,264674,693.88
RFL-00353,TRK-08,2023-08-07,294432,681.65
RFL-00354,TRK-12,2023-08-07,191164,692.85
RFL-00355,TRK-04,2023-08-08,384355,684.07
RFL-00356,TRK-10,2023-08-11,220254,571.79
RFL-00357,TRK-02,2023-08-12,419708,579.21
RFL-00358,TRK-05,2023-08-12,361625,597.53
RFL-00359,TRK-11,2023-08-13,220151,562.91
RFL-00360,TRK-06,2023-08-15,318546,603.77
RFL-00361,TRK-08,2023-08-16,296358,655.17
RFL-00362,TRK-03,2023-08-17,380414,657.15
RFL-00363,TRK-07,2023-08-17,300543,621.35
RFL-00364,TRK-05,2023-08-19,363307,552.57
RFL-00365,TRK-06,2023-08-19,320406,686.33
RFL-00366,TRK-01,2023-08-20,434513,514.34
RFL-00367,TRK-09,2023-08-21,266477,678.93
RFL-00368,TRK-11,2023-08-21,221372,648.40
RFL-00369,TRK-08,2023-08-22,297513,631.21
RFL-00370,TRK-03,2023-08-23,381933,601.28
RFL-00371,TRK-04,2023-08-23,386506,741.04
RFL-00372,TRK-05,2023-08-24,363787,684.53
RFL-00373,TRK-06,2023-08-24,321923,672.39
RFL-00374,TRK-09,2023-08-25,267248,779.26
RFL-00375,TRK-11,2023-08-25,222555,788.03
RFL-00376,TRK-02,2023-08-26,420571,583.82
RFL-00377,TRK-04,2023-08-26,387333,632.88
RFL-00378,TRK-10,2023-08-26,221663,650.31
RFL-00379,TRK-12,2023-08-26,192918,626.04
RFL-00380,TRK-11,2023-08-31,223740,630.58
RFL-00381,TRK-01,2023-09-01,435396,564.51
RFL-00382,TRK-04,2023-09-01,388900,567.62
RFL-00383,TRK-03,2023-09-03,382934,548.91
RFL-00384,TRK-08,2023-09-03,298811,688.12
RFL-00385,TRK-09,2023-09-03,268701,674.92
RFL-00386,TRK-07,2023-09-04,302190,588.82
RFL-00387,TRK-04,2023-09-05,390426,671.84
RFL-00388,TRK-10,2023-09-06,223202,692.29
RFL-00389,TRK-06,2023-09-07,323793,647.99
RFL-00390,TRK-05,2023-09-08,365365,668.84
RFL-00391,TRK-08,2023-09-08,300505,664.10
RFL-00392,TRK-02,2023-09-09,422214,669.79
RFL-00393,TRK-04,2023-09-09,392813,685.67
RFL-00394,TRK-07,2023-09-10,303821,585.87
RFL-00395,TRK-11,2023-09-10,225489,571.89
RFL-00396,TRK-09,2023-09-11,270382,609.14
RFL-00397,TRK-03,2023-09-12,384675,615.06
RFL-00398,TRK-01,2023-09-13,437253,597.53
RFL-00399,TRK-05,2023-09-13,367049,568.76
RFL-00400,TRK-04,2023-09-15,394567,539.79
RFL-00401,TRK-10,2023-09-15,225271,568.81
RFL-00402,TRK-08,2023-09-16,302746,671.44
RFL-00403,TRK-12,2023-09-16,194791,596.68
RFL-00404,TRK-07,2023-09-17,305573,568.29
RFL-00405,TRK-11,2023-09-17,227320,622.52
RFL-00406,TRK-06,2023-09-18,325415,728.30
RFL-00407,TRK-04,2023-09-21,396019,580.30
RFL-00408,TRK-03,2023-09-22,386535,522.81
RFL-00409,TRK-02,2023-09-23,424198,581.87
RFL-00410,TRK-05,2023-09-23,368976,555.69
RFL-00411,TRK-12,2023-09-23,196501,634.96
RFL-00412,TRK-01,2023-09-24,438614,509.78
RFL-00413,TRK-11,2023-09-26,228950,641.92
RFL-00414,TRK-06,2023-09-27,327969,751.84
RFL-00415,TRK-09,2023-09-27,272129,686.35
RFL-00416,TRK-04,2023-09-28,398068,758.39
RFL-00417,TRK-08,2023-09-28,304685,638.63
RFL-00418,TRK-05,2023-09-29,370580,598.35
RFL-00419,TRK-12,2023-09-30,198068,575.40
RFL-00420,TRK-03,2023-10-03,388227,632.06
RFL-00421,TRK-07,2023-10-03,307194,618.43
RFL-00422,TRK-09,2023-10-04,273999,658.55
RFL-00423,TRK-11,2023-10-04,230881,606.40
RFL-00424,TRK-04,2023-10-05,399980,679.23
RFL-00425,TRK-06,2023-10-08,329626,629.54
RFL-00426,TRK-07,2023-10-08,309483,637.23
RFL-00427,TRK-08,2023-10-08,306576,648.98
RFL-00428,TRK-10,2023-10-09,227227,583.33
RFL-00429,TRK-01,2023-10-10,440642,572.37
RFL-00430,TRK-02,2023-10-10,425818,528.77
RFL-00431,TRK-09,2023-10-12,276422,847.73
RFL-00432,TRK-11,2023-10-12,232509,593.23
RFL-00433,TRK-04,2023-10-14,402035,705.70
RFL-00434,TRK-03,2023-10-16,389813,481.83
RFL-00435,TRK-12,2023-10-16,200128,664.64
RFL-00436,TRK-05,2023-10-17,372746,610.89
RFL-00437,TRK-06,2023-10-17,331545,577.28
RFL-00438,TRK-08,2023-10-18,308533,638.54
RFL-00439,TRK-11,2023-10-18,234566,670.82
RFL-00440,TRK-06,2023-10-20,333400,624.55
RFL-00441,TRK-09,2023-10-20,278107,652.82
RFL-00442,TRK-04,2023-10-21,403694,615.59
RFL-00443,TRK-12,2023-10-21,202115,699.35
RFL-00444,TRK-02,2023-10-23,427588,722.37
RFL-00445,TRK-07,2023-10-23,311345,614.45
RFL-00446,TRK-08,2023-10-24,310130,657.39
RFL-00447,TRK-05,2023-10-26,374468,575.09
RFL-00448,TRK-01,2023-10-29,442723,686.99
RFL-00449,TRK-10,2023-10-29,229546,734.33
RFL-00450,TRK-11,2023-10-31,235667,599.99
RFL-00451,TRK-12,2023-10-31,204274,628.72
RFL-00452,TRK-09,2023-11-01,280009,828.87
RFL-00453,TRK-05,2023-11-03,376262,563.23
RFL-00454,TRK-06,2023-11-03,335368,719.97
RFL-00455,TRK-08,2023-11-04,311793,608.59
RFL-00456,TRK-04,2023-11-06,405835,602.16
RFL-00457,TRK-12,2023-11-06,205976,626.11
RFL-00458,TRK-02,2023-11-07,429554,569.39
RFL-00459,TRK-05,2023-11-07,377915,610.73
RFL-00460,TRK-09,2023-11-07,282167,670.55
RFL-00461,TRK-11,2023-11-07,237578,606.24
RFL-00462,TRK-04,2023-11-08,407531,579.77
RFL-00463,TRK-10,2023-11-08,231136,651.30
RFL-00464,TRK-06,2023-11-09,336859,606.08
RFL-00465,TRK-01,2023-11-10,444890,702.44
RFL-00466,TRK-01,2023-11-11,446380,500.13
RFL-00467,TRK-08,2023-11-11,313447,686.43
RFL-00468,TRK-07,2023-11-12,313605,672.66
RFL-00469,TRK-03,2023-11-14,391449,618.17
RFL-00470,TRK-04,2023-11-14,409156,606.56
RFL-00471,TRK-09,2023-11-14,283934,697.62
RFL-00472,TRK-02,2023-11-19,431424,572.57
RFL-00473,TRK-12,2023-11-20,208596,809.20
RFL-00474,TRK-06,2023-11-21,338639,628.80
RFL-00475,TRK-08,2023-11-21,315481,688.78
RFL-00476,TRK-09,2023-11-21,285835,614.91
RFL-00477,TRK-01,2023-11-22,447944,547.31
RFL-00478,TRK-05,2023-11-22,379949,604.42
RFL-00479,TRK-11,2023-11-22,239412,612.86
RFL-00480,TRK-04,2023-11-24,411225,673.40
RFL-00481,TRK-10,2023-11-24,233613,706.36
RFL-00482,TRK-06,2023-11-25,340685,724.25
RFL-00483,TRK-05,2023-11-26,381868,694.21
RFL-00484,TRK-01,2023-11-28,449834,585.40
RFL-00485,TRK-06,2023-11-28,342475,579.52
RFL-00486,TRK-10,2023-11-28,235681,557.49
RFL-00487,TRK-02,2023-11-29,433260,706.05
RFL-00488,TRK-04,2023-11-29,413129,699.96
RFL-00489,TRK-07,2023-11-29,315390,619.85
RFL-00490,TRK-03,2023-11-30,392869,529.97
RFL-00491,TRK-04,2023-11-30,415283,673.04
RFL-00492,TRK-08,2023-11-30,317850,718.76
RFL-00493,TRK-12,2023-11-30,210605,755.07
RFL-00494,TRK-11,2023-12-06,241178,599.70
RFL-00495,TRK-09,2023-12-14,287787,684.46
RFL-00496,TRK-06,2023-12-17,344282,633.94
RFL-00497,TRK-04,2023-12-24,416894,552.54
RFL-00498,TRK-08,2023-12-24,319961,719.26
RFL-00499,TRK-05,2023-12-30,384150,601.63
RFL-00500,TRK-03,2024-01-08,394304,541.14
RFL-00501,TRK-09,2024-01-11,289097,644.86
RFL-00502,TRK-10,2024-01-22,237516,624.09
RFL-00503,TRK-06,2024-01-24,345916,594.81
RFL-00504,TRK-11,2024-01-25,242729,666.41
RFL-00505,TRK-03,2024-02-02,395595,499.90
RFL-00506,TRK-08,2024-02-02,321977,668.12
RFL-00507,TRK-07,2024-02-07,317267,608.65
RFL-00508,TRK-05,2024-02-10,385981,611.69
RFL-00509,TRK-02,2024-02-16,435208,555.69
RFL-00510,TRK-03,2024-02-23,397129,521.49
RFL-00511,TRK-11,2024-02-27,244559,690.98
RFL-00512,TRK-09,2024-02-28,290996,699.85
RFL-00513,TRK-06,2024-03-01,347815,669.14
RFL-00514,TRK-07,2024-03-04,319243,703.51
RFL-00515,TRK-02,2024-03-05,436847,528.48
RFL-00516,TRK-04,2024-03-05,418482,709.71
