trip_id,odometer_after_trip,recorded_at
TRP-00149,178808,2022-07-18 08:03
TRP-00150,368056,2022-07-21 18:58
TRP-00151,290321,2022-07-19 13:48
TRP-00152,290373,2022-07-19 17:17
TRP-00153,290485,2022-07-19 13:10
TRP-00154,290699,2022-07-20 07:05
TRP-00155,266593,2022-07-21 09:37
TRP-00156,252760,2022-07-19 11:30
TRP-00157,227777,2022-07-20 14:49
TRP-00158,208721,2022-07-19 17:13
TRP-00159,208839,2022-07-19 17:40
TRP-00160,179280,2022-07-21 14:29
TRP-00161,394551,2022-07-21 19:40
TRP-00162,253372,2022-07-22 19:42
TRP-00163,253424,2022-07-20 19:50
TRP-00164,209451,2022-07-22 12:47
TRP-00165,179494,2022-07-21 16:54
TRP-00166,341521,2022-07-21 17:45
TRP-00167,290817,2022-07-21 09:11
TRP-00168,291084,2022-07-22 17:50
TRP-00169,266711,2022-07-21 18:27
TRP-00170,253896,2022-07-22 15:44
TRP-00171,368108,2022-07-22 17:14
TRP-00172,311342,2022-07-23 13:09
TRP-00173,311814,2022-07-23 09:18
TRP-00174,267183,2022-07-23 12:21
TRP-00175,254045,2022-07-22 14:59
TRP-00176,254259,2022-07-23 11:53
TRP-00177,254408,2022-07-22 06:00
TRP-00178,227889,2022-07-22 13:57
TRP-00179,179966,2022-07-23 11:38
TRP-00180,180180,2022-07-23 08:03
TRP-00181,394603,2022-07-23 18:43
TRP-00182,311963,2022-07-23 10:22
TRP-00183,291196,2022-07-23 06:59
TRP-00184,228103,2022-07-24 11:59
TRP-00185,228252,2022-07-23 13:34
TRP-00186,209503,2022-07-23 13:48
TRP-00187,180292,2022-07-23 18:47
TRP-00188,394715,2022-07-24 15:13
TRP-00189,368720,2022-07-26 13:32
TRP-00190,291308,2022-07-24 14:39
TRP-00191,267397,2022-07-25 06:09
TRP-00192,228498,2022-07-25 19:08
TRP-00193,394833,2022-07-25 14:59
TRP-00194,395305,2022-07-26 15:48
TRP-00195,341670,2022-07-25 08:42
TRP-00196,342142,2022-07-26 08:24
TRP-00197,312435,2022-07-26 19:05
TRP-00198,291920,2022-07-27 14:16
TRP-00199,267449,2022-07-25 13:56
TRP-00200,254880,2022-07-26 12:43
TRP-00201,255094,2022-07-26 14:44
TRP-00202,228970,2022-07-26 12:00
TRP-00203,229082,2022-07-25 10:39
TRP-00204,209975,2022-07-26 06:42
TRP-00205,210447,2022-07-26 08:47
TRP-00206,210714,2022-07-26 14:20
TRP-00207,180344,2022-07-25 15:02
TRP-00208,368772,2022-07-26 13:54
TRP-00209,342291,2022-07-26 13:05
TRP-00210,342403,2022-07-26 07:20
TRP-00211,312487,2022-07-26 07:52
TRP-00212,292032,2022-07-26 08:45
TRP-00213,267561,2022-07-26 19:22
TRP-00214,268033,2022-07-27 19:19
TRP-00215,268182,2022-07-26 12:35
TRP-00216,255706,2022-07-28 19:36
TRP-00217,229694,2022-07-28 10:07
TRP-00218,211326,2022-07-28 11:07
TRP-00219,395454,2022-07-27 15:06
TRP-00220,312733,2022-07-28 12:46
TRP-00221,313345,2022-07-29 06:14
TRP-00222,313494,2022-07-27 18:55
TRP-00223,313966,2022-07-28 10:57
TRP-00224,292246,2022-07-28 16:47
TRP-00225,255758,2022-07-27 17:17
TRP-00226,256370,2022-07-29 13:36
TRP-00227,256842,2022-07-28 13:33
TRP-00228,229806,2022-07-27 07:58
TRP-00229,229918,2022-07-27 06:08
TRP-00230,230067,2022-07-27 17:08
TRP-00231,211938,2022-07-29 09:51
TRP-00232,180456,2022-07-27 12:50
TRP-00233,180670,2022-07-28 18:17
TRP-00234,395721,2022-07-29 15:04
TRP-00235,395967,2022-07-29 08:04
TRP-00236,369384,2022-07-30 15:13
TRP-00237,314180,2022-07-29 13:06
TRP-00238,268234,2022-07-28 11:06
TRP-00239,268448,2022-07-29 12:20
TRP-00240,256954,2022-07-28 17:14
TRP-00241,230119,2022-07-28 18:09
TRP-00242,230386,2022-07-29 11:18
TRP-00243,180782,2022-07-28 15:17
TRP-00244,396181,2022-07-31 12:47
TRP-00245,268597,2022-07-29 12:02
TRP-00246,230653,2022-07-30 12:17
TRP-00247,314394,2022-07-31 16:58
TRP-00248,314608,2022-07-31 14:31
TRP-00249,269209,2022-08-01 09:15
TRP-00250,269681,2022-07-31 08:10
TRP-00251,257221,2022-07-31 18:54
TRP-00252,181028,2022-07-31 07:43
TRP-00253,315080,2022-08-01 06:18
TRP-00254,269793,2022-07-31 18:28
TRP-00255,230920,2022-08-01 10:22
TRP-00256,212050,2022-07-31 13:36
TRP-00257,369996,2022-08-03 09:11
TRP-00258,343015,2022-08-03 17:47
TRP-00259,343164,2022-08-01 16:18
TRP-00260,270007,2022-08-02 07:51
TRP-00261,231069,2022-08-01 12:31
TRP-00262,212168,2022-08-01 12:02
TRP-00264,396330,2022-08-02 10:49
TRP-00265,396479,2022-08-02 14:15
TRP-00266,343313,2022-08-02 14:08
TRP-00267,343425,2022-08-02 17:26
TRP-00268,315347,2022-08-03 12:05
TRP-00269,270479,2022-08-03 15:27
TRP-00270,231181,2022-08-02 16:06
TRP-00271,370048,2022-08-03 14:26
TRP-00272,292358,2022-08-03 11:57
TRP-00273,292410,2022-08-03 07:32
TRP-00274,292462,2022-08-03 19:47
TRP-00275,271091,2022-08-05 15:26
TRP-00276,257273,2022-08-03 16:29
TRP-00277,231293,2022-08-03 06:30
TRP-00278,231405,2022-08-03 11:32
TRP-00279,212280,2022-08-03 12:17
TRP-00280,212332,2022-08-03 16:13
TRP-00281,181295,2022-08-04 15:43
TRP-00282,370197,2022-08-04 09:33
TRP-00283,344037,2022-08-06 13:52
TRP-00284,315399,2022-08-04 09:38
TRP-00285,315613,2022-08-05 07:04
TRP-00286,292934,2022-08-05 11:02
TRP-00287,271240,2022-08-04 11:06
TRP-00288,257325,2022-08-04 13:08
TRP-00289,257797,2022-08-05 12:20
TRP-00290,231619,2022-08-05 19:56
TRP-00291,212481,2022-08-04 09:47
TRP-00292,213093,2022-08-06 19:32
TRP-00293,213565,2022-08-05 07:57
TRP-00294,213832,2022-08-05 14:34
TRP-00295,181509,2022-08-06 08:38
TRP-00296,370464,2022-08-06 13:33
TRP-00297,370516,2022-08-05 13:06
TRP-00298,315880,2022-08-06 19:51
TRP-00299,231886,2022-08-06 07:54
TRP-00300,213981,2022-08-05 15:34
TRP-00301,396628,2022-08-06 15:59
TRP-00302,370568,2022-08-06 11:42
TRP-00303,293083,2022-08-06 19:40
TRP-00304,258269,2022-08-07 19:21
TRP-00305,258321,2022-08-06 13:50
TRP-00306,214195,2022-08-07 06:27
TRP-00307,181658,2022-08-06 16:56
TRP-00308,370620,2022-08-07 15:58
TRP-00309,370769,2022-08-07 13:17
TRP-00310,370881,2022-08-07 17:14
TRP-00311,344649,2022-08-09 19:06
TRP-00312,345121,2022-08-08 07:06
TRP-00313,293195,2022-08-07 07:12
TRP-00314,293441,2022-08-08 16:57
TRP-00315,271352,2022-08-07 15:40
TRP-00316,258373,2022-08-07 07:22
TRP-00317,397240,2022-08-10 11:34
TRP-00318,397486,2022-08-09 08:40
TRP-00319,370993,2022-08-08 09:14
TRP-00320,371045,2022-08-08 16:11
TRP-00321,371657,2022-08-10 10:35
TRP-00322,345173,2022-08-08 07:27
TRP-00323,316094,2022-08-09 12:55
TRP-00324,316243,2022-08-08 13:45
TRP-00325,316855,2022-08-10 11:29
TRP-00326,293708,2022-08-09 18:24
TRP-00327,271464,2022-08-08 12:13
TRP-00328,258522,2022-08-08 08:22
TRP-00329,258736,2022-08-09 13:58
TRP-00330,231938,2022-08-08 11:47
TRP-00331,232152,2022-08-09 13:06
TRP-00332,397635,2022-08-09 14:34
TRP-00333,397784,2022-08-09 09:03
TRP-00334,317069,2022-08-10 12:59
TRP-00335,317121,2022-08-09 17:20
TRP-00336,293760,2022-08-09 17:28
TRP-00337,271613,2022-08-09 10:44
TRP-00338,214247,2022-08-09 18:10
TRP-00339,397998,2022-08-11 08:11
TRP-00340,372129,2022-08-11 12:44
TRP-00341,317270,2022-08-10 11:59
TRP-00342,294372,2022-08-12 17:14
TRP-00343,272085,2022-08-11 12:12
TRP-00344,259348,2022-08-12 10:38
TRP-00345,259466,2022-08-10 16:56
TRP-00346,232301,2022-08-10 11:05
TRP-00347,214396,2022-08-10 16:51
TRP-00348,214610,2022-08-12 11:54
TRP-00349,214728,2022-08-10 06:52
TRP-00350,214877,2022-08-10 10:52
TRP-00351,372343,2022-08-12 09:56
TRP-00352,345285,2022-08-11 07:08
TRP-00353,294484,2022-08-11 17:40
TRP-00354,295096,2022-08-13 19:41
TRP-00355,272197,2022-08-11 18:27
TRP-00356,272411,2022-08-12 13:11
TRP-00357,259584,2022-08-11 07:07
TRP-00358,232353,2022-08-11 12:05
TRP-00359,232502,2022-08-11 19:20
TRP-00360,232716,2022-08-12 07:31
TRP-00361,215144,2022-08-12 07:51
TRP-00362,398147,2022-08-12 07:38
TRP-00363,372589,2022-08-13 12:32
TRP-00364,345757,2022-08-13 06:22
TRP-00365,317388,2022-08-12 09:07
TRP-00366,295245,2022-08-12 11:53
TRP-00367,272883,2022-08-13 07:33
TRP-00368,259733,2022-08-12 19:34
TRP-00369,259882,2022-08-12 07:48
TRP-00370,232962,2022-08-13 06:53
TRP-00371,233074,2022-08-12 14:40
TRP-00372,181872,2022-08-13 07:38
TRP-00373,182344,2022-08-13 11:54
TRP-00374,295459,2022-08-14 15:06
TRP-00375,233320,2022-08-14 07:08
TRP-00376,233587,2022-08-14 09:42
TRP-00377,182956,2022-08-15 06:24
TRP-00378,398759,2022-08-16 11:02
TRP-00379,295608,2022-08-14 12:18
TRP-00380,295660,2022-08-14 07:51
TRP-00381,296272,2022-08-16 10:58
TRP-00382,273355,2022-08-15 17:44
TRP-00383,273569,2022-08-16 17:42
TRP-00384,234199,2022-08-16 16:19
TRP-00385,234348,2022-08-14 13:34
TRP-00386,345971,2022-08-16 09:12
TRP-00387,317655,2022-08-16 12:51
TRP-00388,296486,2022-08-16 15:38
TRP-00389,273621,2022-08-15 06:30
TRP-00390,274233,2022-08-17 11:00
TRP-00391,215390,2022-08-16 11:37
TRP-00392,215604,2022-08-16 18:10
TRP-00393,372803,2022-08-17 14:12
TRP-00394,373049,2022-08-17 18:56
TRP-00395,346583,2022-08-18 11:53
TRP-00396,296635,2022-08-16 18:29
TRP-00397,296687,2022-08-16 10:49
TRP-00398,274500,2022-08-17 17:45
TRP-00399,275112,2022-08-18 15:36
TRP-00400,275326,2022-08-17 10:50
TRP-00401,259934,2022-08-16 19:06
TRP-00402,260083,2022-08-16 10:16
TRP-00403,260195,2022-08-16 15:05
TRP-00404,260807,2022-08-18 13:21
TRP-00405,234497,2022-08-16 07:06
TRP-00406,234969,2022-08-17 10:38
TRP-00407,216216,2022-08-18 09:30
TRP-00408,216430,2022-08-18 12:40
TRP-00409,183105,2022-08-16 08:47
TRP-00410,183717,2022-08-18 13:33
TRP-00411,346635,2022-08-17 07:15
TRP-00412,275798,2022-08-18 09:24
TRP-00413,276270,2022-08-18 16:29
TRP-00414,260859,2022-08-17 08:39
TRP-00415,261008,2022-08-17 06:11
TRP-00416,235581,2022-08-19 09:51
TRP-00417,216542,2022-08-17 08:45
TRP-00418,373263,2022-08-19 14:20
TRP-00419,346784,2022-08-18 16:32
TRP-00420,347051,2022-08-19 14:23
TRP-00421,347663,2022-08-20 11:40
TRP-00422,317869,2022-08-19 14:31
TRP-00423,235633,2022-08-18 09:25
TRP-00424,235745,2022-08-18 12:40
TRP-00425,216809,2022-08-19 06:31
TRP-00426,217076,2022-08-19 08:17
TRP-00427,348135,2022-08-20 18:34
TRP-00428,317921,2022-08-19 09:40
TRP-00429,296901,2022-08-20 09:43
TRP-00430,261120,2022-08-19 13:57
TRP-00431,236357,2022-08-21 09:48
TRP-00432,217128,2022-08-19 15:06
TRP-00433,217246,2022-08-19 17:00
TRP-00434,183769,2022-08-19 14:34
TRP-00435,398908,2022-08-20 15:16
TRP-00436,348381,2022-08-21 14:05
TRP-00437,318188,2022-08-21 06:58
TRP-00438,261238,2022-08-20 08:02
TRP-00439,261387,2022-08-20 12:12
TRP-00440,261601,2022-08-21 08:39
TRP-00441,261713,2022-08-20 14:38
TRP-00442,262325,2022-08-22 11:26
TRP-00443,236506,2022-08-20 10:47
TRP-00444,236978,2022-08-21 12:03
TRP-00445,217298,2022-08-20 07:40
TRP-00446,184036,2022-08-21 08:35
TRP-00447,399175,2022-08-22 06:39
TRP-00448,399389,2022-08-22 14:28
TRP-00449,297168,2022-08-22 08:44
TRP-00450,297780,2022-08-23 07:38
TRP-00451,262443,2022-08-21 10:03
TRP-00452,217447,2022-08-21 08:01
TRP-00453,373315,2022-08-22 16:10
TRP-00454,348499,2022-08-22 14:15
TRP-00455,318800,2022-08-24 10:37
TRP-00456,297898,2022-08-22 15:22
TRP-00457,297950,2022-08-22 19:23
TRP-00458,399538,2022-08-23 19:35
TRP-00459,373529,2022-08-24 19:00
TRP-00460,348648,2022-08-23 19:27
TRP-00461,318918,2022-08-23 18:49
TRP-00462,298062,2022-08-23 08:14
TRP-00463,276882,2022-08-25 09:31
TRP-00464,276994,2022-08-23 12:45
TRP-00465,262915,2022-08-24 13:00
TRP-00466,217919,2022-08-24 13:46
TRP-00467,373775,2022-08-25 06:53
TRP-00468,298174,2022-08-24 17:42
TRP-00469,298226,2022-08-24 11:51
TRP-00470,298698,2022-08-25 19:18
TRP-00471,262967,2022-08-24 11:32
TRP-00472,217971,2022-08-24 12:08
TRP-00473,374042,2022-08-26 10:41
TRP-00474,319067,2022-08-25 14:49
TRP-00475,319539,2022-08-26 15:03
TRP-00476,277106,2022-08-25 16:04
TRP-00477,263079,2022-08-25 18:12
TRP-00478,263346,2022-08-26 15:14
TRP-00479,237590,2022-08-27 08:33
TRP-00480,218443,2022-08-26 17:13
TRP-00481,184185,2022-08-25 16:33
TRP-00482,277718,2022-08-28 08:47
TRP-00483,277985,2022-08-27 18:24
TRP-00484,237804,2022-08-27 11:05
TRP-00485,238276,2022-08-27 13:57
TRP-00486,374154,2022-08-27 15:10
TRP-00487,319651,2022-08-27 07:33
TRP-00489,278597,2022-08-29 08:51
TRP-00490,238388,2022-08-27 18:12
TRP-00491,218592,2022-08-27 13:24
TRP-00492,218741,2022-08-27 17:10
TRP-00493,349260,2022-08-30 17:01
TRP-00494,319865,2022-08-29 18:42
TRP-00495,319917,2022-08-28 10:07
TRP-00496,319969,2022-08-28 10:12
TRP-00497,320081,2022-08-28 12:46
TRP-00498,298847,2022-08-28 16:58
TRP-00499,298959,2022-08-28 19:23
TRP-00500,184237,2022-08-28 11:12
TRP-00501,374421,2022-08-30 17:25
TRP-00502,349312,2022-08-29 14:18
TRP-00503,278864,2022-08-30 12:25
TRP-00504,238860,2022-08-30 12:59
TRP-00505,218853,2022-08-29 16:44
TRP-00506,374635,2022-08-31 09:12
TRP-00507,349424,2022-08-30 13:20
TRP-00508,320133,2022-08-30 09:59
TRP-00509,299226,2022-08-31 09:46
TRP-00510,278976,2022-08-30 18:24
TRP-00511,218965,2022-08-30 06:05
TRP-00512,374784,2022-08-31 10:41
TRP-00513,320347,2022-09-01 06:21
TRP-00514,279125,2022-08-31 12:17
TRP-00515,219437,2022-09-01 13:24
TRP-00516,219586,2022-08-31 09:47
TRP-00517,184289,2022-08-31 09:22
TRP-00518,399687,2022-09-01 07:30
TRP-00519,375051,2022-09-02 14:48
TRP-00520,349536,2022-09-01 11:19
TRP-00521,320496,2022-09-01 06:31
TRP-00522,299493,2022-09-02 15:15
TRP-00523,299545,2022-09-01 10:17
TRP-00524,219638,2022-09-01 10:50
TRP-00525,184438,2022-09-01 15:27
TRP-00526,164852,2022-09-01 10:41
TRP-00527,165324,2022-09-02 06:09
TRP-00528,399799,2022-09-02 14:44
TRP-00529,375103,2022-09-02 16:04
TRP-00530,350008,2022-09-03 11:36
TRP-00531,320742,2022-09-03 16:21
TRP-00532,299759,2022-09-03 09:50
TRP-00533,279339,2022-09-03 06:08
TRP-00534,219787,2022-09-02 11:41
TRP-00535,165473,2022-09-02 17:14
TRP-00536,399911,2022-09-03 14:15
TRP-00537,400060,2022-09-03 08:32
TRP-00538,375155,2022-09-03 10:02
TRP-00539,375267,2022-09-03 08:18
TRP-00540,299811,2022-09-03 08:33
TRP-00541,299863,2022-09-03 13:14
TRP-00542,299915,2022-09-03 10:41
TRP-00543,279585,2022-09-04 15:08
TRP-00544,279734,2022-09-03 11:03
TRP-00545,263560,2022-09-04 06:46
TRP-00546,263827,2022-09-04 18:57
TRP-00547,264439,2022-09-05 17:48
TRP-00548,220259,2022-09-04 14:21
TRP-00549,400209,2022-09-04 16:11
TRP-00550,375879,2022-09-06 11:56
TRP-00551,320956,2022-09-05 15:38
TRP-00552,279883,2022-09-04 16:02
TRP-00553,264491,2022-09-04 16:09
TRP-00554,238912,2022-09-04 18:36
TRP-00555,220871,2022-09-06 17:16
TRP-00556,220983,2022-09-04 14:45
TRP-00557,221035,2022-09-04 11:34
TRP-00558,400455,2022-09-06 09:49
TRP-00559,376125,2022-09-06 11:38
TRP-00560,376339,2022-09-06 08:29
TRP-00561,350060,2022-09-05 12:51
TRP-00562,321428,2022-09-06 16:58
TRP-00563,321900,2022-09-06 10:40
TRP-00564,322167,2022-09-06 09:49
TRP-00565,300387,2022-09-06 19:40
TRP-00566,280001,2022-09-05 09:10
TRP-00567,239024,2022-09-05 08:33
TRP-00568,221147,2022-09-05 15:21
TRP-00569,165687,2022-09-06 08:16
TRP-00570,400507,2022-09-06 18:58
TRP-00571,350672,2022-09-08 16:36
TRP-00572,300601,2022-09-07 10:22
TRP-00573,301213,2022-09-08 14:19
TRP-00574,264640,2022-09-07 16:34
TRP-00575,264692,2022-09-06 17:51
TRP-00576,221414,2022-09-07 13:12
TRP-00577,184705,2022-09-07 19:47
TRP-00578,166159,2022-09-07 18:50
TRP-00579,400619,2022-09-07 12:03
TRP-00580,301325,2022-09-07 07:11
TRP-00581,301539,2022-09-08 13:09
TRP-00582,264744,2022-09-07 17:42
TRP-00583,264856,2022-09-07 16:55
TRP-00584,221563,2022-09-07 15:10
TRP-00585,222175,2022-09-09 08:36
TRP-00586,222227,2022-09-07 18:25
TRP-00587,184854,2022-09-07 10:05
TRP-00588,166271,2022-09-07 14:01
TRP-00589,166883,2022-09-09 06:22
TRP-00590,351144,2022-09-09 06:53
TRP-00591,322434,2022-09-09 06:10
TRP-00592,264968,2022-09-08 08:49
TRP-00593,222473,2022-09-09 17:38
TRP-00594,222525,2022-09-08 19:14
TRP-00595,280053,2022-09-09 14:40
TRP-00596,265182,2022-09-10 09:19
TRP-00597,265234,2022-09-09 15:40
TRP-00598,167355,2022-09-10 18:04
TRP-00599,167967,2022-09-11 13:46
TRP-00600,376811,2022-09-11 15:11
TRP-00601,301806,2022-09-11 12:20
TRP-00602,239173,2022-09-10 14:49
TRP-00603,185068,2022-09-11 06:18
TRP-00604,168439,2022-09-11 06:14
TRP-00605,322583,2022-09-11 16:39
TRP-00606,280665,2022-09-13 17:23
TRP-00607,239645,2022-09-12 12:35
TRP-00608,223137,2022-09-13 19:15
TRP-00609,400886,2022-09-13 09:03
TRP-00610,351358,2022-09-13 17:07
TRP-00611,351410,2022-09-12 08:25
TRP-00612,351522,2022-09-12 15:17
TRP-00613,323055,2022-09-13 09:23
TRP-00614,301858,2022-09-12 12:50
TRP-00615,280717,2022-09-12 10:00
TRP-00616,239794,2022-09-12 09:50
TRP-00617,239906,2022-09-12 15:23
TRP-00618,223383,2022-09-13 19:34
TRP-00619,376863,2022-09-13 11:57
TRP-00620,351574,2022-09-13 11:05
TRP-00621,351626,2022-09-13 12:54
TRP-00622,301970,2022-09-13 17:36
TRP-00623,302088,2022-09-13 11:17
TRP-00624,281329,2022-09-15 08:43
TRP-00625,265346,2022-09-13 11:29
TRP-00626,240152,2022-09-14 10:06
TRP-00627,240301,2022-09-13 13:15
TRP-00628,240913,2022-09-15 08:17
TRP-00629,223855,2022-09-14 15:08
TRP-00630,185180,2022-09-13 08:22
TRP-00631,185232,2022-09-13 07:19
TRP-00632,168588,2022-09-13 15:08
TRP-00633,168737,2022-09-13 13:48
TRP-00634,323269,2022-09-15 10:37
TRP-00635,281381,2022-09-14 10:11
TRP-00636,281595,2022-09-15 13:45
TRP-00637,241180,2022-09-15 17:32
TRP-00638,241394,2022-09-15 16:01
TRP-00639,323881,2022-09-17 14:52
TRP-00640,302334,2022-09-16 15:32
TRP-00641,302601,2022-09-16 10:23
TRP-00642,282067,2022-09-16 19:49
TRP-00643,282679,2022-09-17 09:27
TRP-00644,241543,2022-09-15 13:06
TRP-00645,241810,2022-09-16 08:38
TRP-00646,223907,2022-09-15 12:01
TRP-00647,224379,2022-09-16 19:29
TRP-00648,185704,2022-09-16 08:56
TRP-00649,401035,2022-09-16 07:10
TRP-00650,377109,2022-09-17 18:30
TRP-00651,351775,2022-09-16 06:45
TRP-00652,323993,2022-09-16 19:56
TRP-00653,324105,2022-09-16 12:27
TRP-00654,324157,2022-09-16 06:08
TRP-00655,282893,2022-09-18 08:06
TRP-00656,242024,2022-09-17 07:50
TRP-00657,185971,2022-09-17 06:41
TRP-00658,168849,2022-09-16 14:12
TRP-00659,302653,2022-09-17 14:08
TRP-00660,302920,2022-09-18 17:47
TRP-00661,303038,2022-09-17 17:35
TRP-00662,265458,2022-09-17 17:43
TRP-00663,265570,2022-09-17 14:31
TRP-00664,265837,2022-09-18 17:33
TRP-00665,242076,2022-09-17 13:03
TRP-00666,169321,2022-09-18 11:42
