trip_id,date_departure,date_arrival,truck_id,driver_id,client_id,route_id,origin_city,destination_city,distance_km,route_type,cargo_type,cargo_tons_actual,load_factor_pct,delay_hours,status
TRP-00066,2022-07-09,2022-07-09,TRK-02,DRV-02,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,23.00,100.0,0.7,completed
TRP-00067,2022-07-09,2022-07-09,TRK-04,DRV-04,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,17.15,71.4,1.3,completed
TRP-00068,2022-07-09,2022-07-09,TRK-04,DRV-12,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,17.89,74.5,1.0,completed
TRP-00069,2022-07-09,2022-07-11,TRK-06,DRV-06,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,corn,22.76,96.8,11.7,delayed
TRP-00070,2022-07-09,2022-07-10,TRK-08,DRV-11,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,24.32,97.3,1.1,completed
TRP-00071,2022-07-09,2022-07-09,TRK-08,DRV-08,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,22.63,90.5,0.7,completed
TRP-00072,2022-07-09,2022-07-10,TRK-08,DRV-08,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,22.74,91.0,1.4,completed
TRP-00073,2022-07-09,2022-07-11,TRK-09,DRV-09,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,corn,19.56,78.2,1.4,completed
TRP-00074,2022-07-09,2022-07-11,TRK-09,DRV-02,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,corn,23.01,92.0,17.8,delayed
TRP-00075,2022-07-09,2022-07-10,TRK-09,DRV-09,CLT-06,RTE-06,Вінниця,Київ,267,highway,sunflower,21.76,87.0,4.5,delayed
TRP-00076,2022-07-09,2022-07-10,TRK-10,DRV-10,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,23.73,98.9,0.5,completed
TRP-00077,2022-07-10,2022-07-10,TRK-01,DRV-01,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,22.28,101.3,0.1,completed
TRP-00078,2022-07-10,2022-07-10,TRK-04,DRV-04,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,17.38,72.4,1.4,completed
TRP-00079,2022-07-10,2022-07-12,TRK-04,DRV-04,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,sunflower,22.12,92.2,0.3,completed
TRP-00080,2022-07-10,2022-07-10,TRK-07,DRV-07,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,18.62,77.6,1.3,completed
TRP-00081,2022-07-10,2022-07-12,TRK-07,DRV-07,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,corn,21.80,90.8,0.4,completed
TRP-00082,2022-07-10,2022-07-10,TRK-08,DRV-08,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,18.75,75.0,0.7,completed
TRP-00083,2022-07-10,2022-07-12,TRK-09,DRV-09,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,sunflower,23.20,92.8,0.7,completed
TRP-00084,2022-07-11,2022-07-11,TRK-01,DRV-01,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,18.05,82.0,4.9,delayed
TRP-00085,2022-07-11,2022-07-13,TRK-03,DRV-03,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,sunflower,20.10,93.5,1.5,completed
TRP-00086,2022-07-11,2022-07-12,TRK-04,DRV-04,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,22.90,95.4,0.2,completed
TRP-00087,2022-07-11,2022-07-11,TRK-05,DRV-05,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,20.59,84.0,1.6,completed
TRP-00088,2022-07-11,2022-07-11,TRK-05,DRV-05,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,25.26,103.1,1.8,completed
TRP-00089,2022-07-11,2022-07-12,TRK-06,DRV-06,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,22.65,96.4,1.0,completed
TRP-00090,2022-07-11,2022-07-11,TRK-07,DRV-07,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,24.38,101.6,1.0,completed
TRP-00091,2022-07-11,2022-07-12,TRK-07,DRV-07,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,22.52,93.8,1.1,completed
TRP-00092,2022-07-11,2022-07-12,TRK-07,DRV-07,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,21.24,88.5,12.1,delayed
TRP-00093,2022-07-11,2022-07-12,TRK-10,DRV-10,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,21.32,88.8,1.6,completed
TRP-00094,2022-07-12,2022-07-12,TRK-01,DRV-01,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,16.57,75.3,1.1,completed
TRP-00095,2022-07-12,2022-07-13,TRK-03,DRV-03,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,17.02,79.2,1.7,completed
TRP-00096,2022-07-12,2022-07-13,TRK-04,DRV-04,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,22.03,91.8,0.8,completed
TRP-00097,2022-07-12,2022-07-12,TRK-05,DRV-05,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,23.92,97.6,1.5,completed
TRP-00098,2022-07-12,2022-07-13,TRK-07,DRV-07,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,18.24,76.0,1.6,completed
TRP-00099,2022-07-12,2022-07-13,TRK-07,DRV-07,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,22.52,93.8,20.1,delayed
TRP-00100,2022-07-13,2022-07-13,TRK-03,DRV-03,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,23.02,107.1,1.4,completed
TRP-00101,2022-07-13,2022-07-14,TRK-03,DRV-03,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,19.32,89.9,0.5,completed
TRP-00102,2022-07-13,2022-07-13,TRK-07,DRV-07,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,19.84,82.7,0.5,completed
TRP-00103,2022-07-13,2022-07-14,TRK-08,DRV-08,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,22.59,90.4,1.3,completed
TRP-00104,2022-07-13,2022-07-13,TRK-09,DRV-09,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,25.84,103.4,1.3,completed
TRP-00105,2022-07-14,2022-07-14,TRK-03,DRV-03,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,15.00,69.8,1.7,completed
TRP-00106,2022-07-14,2022-07-14,TRK-05,DRV-05,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,24.45,99.8,0.1,completed
TRP-00107,2022-07-14,2022-07-16,TRK-05,DRV-05,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,wheat,16.80,68.6,1.0,completed
TRP-00108,2022-07-14,2022-07-14,TRK-06,DRV-06,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,17.08,72.7,1.4,completed
TRP-00109,2022-07-14,2022-07-15,TRK-08,DRV-08,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,22.98,91.9,10.4,delayed
TRP-00110,2022-07-14,2022-07-16,TRK-08,DRV-08,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,sunflower,22.38,89.5,0.3,completed
TRP-00111,2022-07-14,2022-07-14,TRK-09,DRV-09,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,26.27,105.1,0.6,completed
TRP-00112,2022-07-15,2022-07-16,TRK-02,DRV-02,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,21.64,94.1,1.1,completed
TRP-00113,2022-07-15,2022-07-15,TRK-04,DRV-06,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,18.03,75.1,1.4,completed
TRP-00114,2022-07-15,2022-07-15,TRK-04,DRV-12,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,23.81,99.2,0.7,completed
TRP-00115,2022-07-15,2022-07-15,TRK-04,DRV-04,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,24.86,103.6,4.3,delayed
TRP-00116,2022-07-15,2022-07-15,TRK-05,DRV-05,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,21.30,87.0,0.2,completed
TRP-00117,2022-07-15,2022-07-16,TRK-06,DRV-06,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,23.29,99.1,1.8,completed
TRP-00118,2022-07-15,2022-07-17,TRK-06,DRV-06,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,22.38,95.2,25.4,delayed
TRP-00119,2022-07-15,2022-07-15,TRK-07,DRV-07,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,25.98,108.3,0.8,completed
TRP-00120,2022-07-15,2022-07-15,TRK-09,DRV-09,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,18.52,74.1,1.7,completed
TRP-00121,2022-07-15,2022-07-15,TRK-09,DRV-09,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,27.47,109.9,0.9,completed
TRP-00122,2022-07-15,2022-07-16,TRK-10,DRV-04,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,23.33,97.2,14.0,delayed
TRP-00123,2022-07-15,2022-07-17,TRK-10,DRV-10,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,corn,22.45,93.5,1.2,completed
TRP-00124,2022-07-16,2022-07-16,TRK-02,DRV-02,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,19.33,84.1,0.3,completed
TRP-00125,2022-07-16,2022-07-16,TRK-03,DRV-03,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,18.75,87.2,1.5,completed
TRP-00126,2022-07-16,2022-07-18,TRK-04,DRV-04,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,wheat,18.26,76.1,0.5,completed
TRP-00127,2022-07-16,2022-07-16,TRK-05,DRV-06,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,26.05,106.3,1.0,completed
TRP-00128,2022-07-16,2022-07-16,TRK-07,DRV-07,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,19.94,83.1,1.3,completed
TRP-00129,2022-07-16,2022-07-17,TRK-08,DRV-08,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,22.66,90.7,0.6,completed
TRP-00130,2022-07-16,2022-07-16,TRK-09,DRV-09,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,17.30,69.2,0.7,completed
TRP-00131,2022-07-17,2022-07-18,TRK-01,DRV-01,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,21.15,96.1,1.4,completed
TRP-00132,2022-07-17,2022-07-17,TRK-03,DRV-03,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,18.46,85.9,1.1,completed
TRP-00133,2022-07-17,2022-07-18,TRK-05,DRV-05,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,24.14,98.5,0.1,completed
TRP-00134,2022-07-17,2022-07-18,TRK-05,DRV-05,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,22.36,91.3,1.6,completed
TRP-00135,2022-07-17,2022-07-17,TRK-06,DRV-06,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,18.90,80.4,0.8,completed
TRP-00136,2022-07-17,2022-07-17,TRK-08,DRV-08,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,25.51,102.1,0.1,completed
TRP-00137,2022-07-18,2022-07-18,TRK-01,DRV-01,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,24.50,111.3,0.3,completed
TRP-00138,2022-07-18,2022-07-18,TRK-04,DRV-04,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,26.89,112.1,0.7,completed
TRP-00139,2022-07-18,2022-07-18,TRK-07,DRV-07,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,17.20,71.7,0.3,completed
TRP-00140,2022-07-18,2022-07-18,TRK-08,DRV-08,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,25.77,103.1,0.4,completed
TRP-00141,2022-07-18,2022-07-19,TRK-10,DRV-10,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,21.88,91.2,23.1,delayed
TRP-00142,2022-07-18,2022-07-18,TRK-10,DRV-10,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,27.15,113.1,0.3,completed
TRP-00143,2022-07-19,2022-07-20,TRK-01,DRV-01,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,19.25,87.5,1.4,completed
TRP-00144,2022-07-19,2022-07-21,TRK-02,DRV-02,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,wheat,20.91,90.9,16.9,delayed
TRP-00145,2022-07-19,2022-07-19,TRK-05,DRV-05,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,21.45,87.6,0.2,completed
TRP-00146,2022-07-19,2022-07-19,TRK-05,DRV-05,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,20.82,85.0,0.3,completed
TRP-00147,2022-07-19,2022-07-19,TRK-05,DRV-05,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,26.20,107.0,4.0,delayed
TRP-00148,2022-07-19,2022-07-20,TRK-05,DRV-05,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,18.13,74.0,0.6,completed
TRP-00149,2022-07-19,2022-07-19,TRK-07,DRV-07,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,17.72,73.8,1.3,completed
TRP-00150,2022-07-19,2022-07-20,TRK-08,DRV-08,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,17.69,70.8,1.4,completed
TRP-00151,2022-07-19,2022-07-19,TRK-09,DRV-09,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,20.87,83.5,1.1,completed
TRP-00152,2022-07-19,2022-07-19,TRK-09,DRV-09,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,23.09,92.4,0.0,completed
TRP-00153,2022-07-19,2022-07-21,TRK-10,DRV-10,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,19.27,80.3,24.2,delayed
TRP-00154,2022-07-20,2022-07-21,TRK-01,DRV-01,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,20.34,92.5,0.6,completed
TRP-00155,2022-07-20,2022-07-20,TRK-02,DRV-02,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,20.50,89.1,0.7,completed
TRP-00156,2022-07-20,2022-07-20,TRK-07,DRV-07,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,22.95,95.6,1.1,completed
TRP-00157,2022-07-20,2022-07-22,TRK-09,DRV-04,CLT-03,RTE-03,Полтава,Чорноморськ,612,highway,sunflower,22.80,91.2,0.1,completed
TRP-00158,2022-07-20,2022-07-21,TRK-10,DRV-10,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,23.24,96.9,20.4,delayed
TRP-00159,2022-07-21,2022-07-21,TRK-05,DRV-05,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,21.80,89.0,0.4,completed
TRP-00160,2022-07-21,2022-07-22,TRK-05,DRV-05,CLT-06,RTE-06,Вінниця,Київ,267,highway,corn,21.32,87.0,0.2,completed
TRP-00161,2022-07-21,2022-07-21,TRK-06,DRV-06,CLT-05,RTE-05,Черкаси,Кременчук,118,local,soy,20.66,87.9,0.1,completed
TRP-00162,2022-07-21,2022-07-22,TRK-07,DRV-07,CLT-02,RTE-02,Дніпро,Одеса,472,highway,corn,16.63,69.3,0.1,completed
TRP-00163,2022-07-22,2022-07-22,TRK-02,DRV-02,CLT-07,RTE-07,Вінниця,Жмеринка,52,local,wheat,22.40,97.4,0.3,completed
TRP-00164,2022-07-22,2022-07-23,TRK-04,DRV-04,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,22.59,94.1,0.8,completed
TRP-00165,2022-07-22,2022-07-23,TRK-05,DRV-09,CLT-01,RTE-01,Кропивницький,Дніпро,246,highway,sunflower,23.03,94.0,1.7,completed
TRP-00166,2022-07-22,2022-07-23,TRK-06,DRV-06,CLT-02,RTE-02,Дніпро,Одеса,472,highway,sunflower,21.75,92.6,0.2,completed
TRP-00167,2022-07-22,2022-07-22,TRK-07,DRV-07,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,20.83,86.8,1.0,completed
TRP-00168,2022-07-22,2022-07-23,TRK-07,DRV-07,CLT-11,RTE-10,Подільськ,Чорноморськ,214,highway,wheat,23.33,97.2,0.7,completed
TRP-00169,2022-07-22,2022-07-22,TRK-07,DRV-07,CLT-08,RTE-08,Чернігів,Київ,149,local,wheat,25.67,106.9,1.4,completed
TRP-00170,2022-07-22,2022-07-22,TRK-08,DRV-08,CLT-09,RTE-09,Хмельницький,Тернопіль,112,local,wheat,20.95,83.8,0.8,completed
TRP-00171,2022-07-22,2022-07-23,TRK-10,DRV-10,CLT-02,RTE-02,Дніпро,Одеса,472,highway,wheat,16.77,69.9,1.2,completed
