rate_id,client_id,distance_from_km,distance_to_km,weight_from_tons,weight_to_tons,rate_uah_per_ton_km,valid_from,valid_to
RAT-0061,CLT-02,0,150,18,21,2.445,2023-01-01,2023-06-30
RAT-0062,CLT-02,0,150,21,27,2.379,2023-01-01,2023-06-30
RAT-0063,CLT-02,150,300,18,23,2.266,2023-01-01,2023-06-30
RAT-0064,CLT-02,150,300,23,27,2.090,2023-01-01,2023-06-30
RAT-0065,CLT-02,300,500,18,24,2.009,2023-01-01,2023-06-30
RAT-0066,CLT-02,500,9999,18,25,1.910,2023-01-01,2023-06-30
RAT-0067,CLT-02,0,150,18,21,2.865,2023-07-01,2023-09-30
RAT-0068,CLT-02,0,150,21,27,2.767,2023-07-01,2023-09-30
RAT-0069,CLT-02,150,300,18,23,2.567,2023-07-01,2023-09-30
RAT-0070,CLT-02,150,300,23,27,2.536,2023-07-01,2023-09-30
RAT-0071,CLT-02,300,500,18,24,2.347,2023-07-01,2023-09-30
RAT-0072,CLT-02,500,9999,18,25,2.181,2023-07-01,2023-09-30
RAT-0073,CLT-02,0,150,18,21,2.376,2023-10-01,2023-12-31
RAT-0074,CLT-02,0,150,21,27,2.223,2023-10-01,2023-12-31
RAT-0075,CLT-02,150,300,18,23,2.243,2023-10-01,2023-12-31
RAT-0076,CLT-02,150,300,23,27,2.112,2023-10-01,2023-12-31
RAT-0077,CLT-02,300,500,18,24,1.924,2023-10-01,2023-12-31
RAT-0078,CLT-02,500,9999,18,25,1.960,2023-10-01,2023-12-31
RAT-0079,CLT-02,0,150,18,21,2.457,2024-01-01,2024-06-30
RAT-0080,CLT-02,0,150,21,27,2.311,2024-01-01,2024-06-30
RAT-0081,CLT-02,150,300,18,23,2.200,2024-01-01,2024-06-30
RAT-0082,CLT-02,150,300,23,27,2.129,2024-01-01,2024-06-30
RAT-0083,CLT-02,300,500,18,24,2.097,2024-01-01,2024-06-30
RAT-0084,CLT-02,500,9999,18,25,1.943,2024-01-01,2024-06-30
RAT-0085,CLT-02,0,150,18,21,2.869,2024-07-01,2024-09-30
RAT-0086,CLT-02,0,150,21,27,2.710,2024-07-01,2024-09-30
RAT-0087,CLT-02,150,300,18,23,2.638,2024-07-01,2024-09-30
RAT-0088,CLT-02,150,300,23,27,2.513,2024-07-01,2024-09-30
RAT-0089,CLT-02,300,500,18,24,2.359,2024-07-01,2024-09-30
RAT-0090,CLT-02,500,9999,18,25,2.164,2024-07-01,2024-09-30
RAT-0091,CLT-02,0,150,18,21,2.585,2024-10-01,2024-10-31
RAT-0092,CLT-02,0,150,21,27,2.413,2024-10-01,2024-10-31
RAT-0093,CLT-02,150,300,18,23,2.234,2024-10-01,2024-10-31
RAT-0094,CLT-02,150,300,23,27,2.219,2024-10-01,2024-10-31
RAT-0095,CLT-02,300,500,18,24,2.081,2024-10-01,2024-10-31
RAT-0096,CLT-02,500,9999,18,25,1.986,2024-10-01,2024-10-31
RAT-0097,CLT-03,0,150,18,21,2.589,2022-07-01,2022-09-30
RAT-0098,CLT-03,0,150,21,27,2.243,2022-07-01,2022-09-30
RAT-0099,CLT-03,150,300,18,23,2.278,2022-07-01,2022-09-30
RAT-0100,CLT-03,150,300,23,27,2.135,2022-07-01,2022-09-30
RAT-0101,CLT-03,300,500,18,24,1.946,2022-07-01,2022-09-30
RAT-0102,CLT-03,500,9999,18,25,1.975,2022-07-01,2022-09-30
RAT-0103,CLT-03,0,150,18,21,2.180,2022-10-01,2022-12-31
RAT-0104,CLT-03,0,150,21,27,1.912,2022-10-01,2022-12-31
RAT-0105,CLT-03,150,300,18,23,1.843,2022-10-01,2022-12-31
RAT-0106,CLT-03,150,300,23,27,1.790,2022-10-01,2022-12-31
RAT-0107,CLT-03,300,500,18,24,1.663,2022-10-01,2022-12-31
RAT-0108,CLT-03,500,9999,18,25,1.585,2022-10-01,2022-12-31
RAT-0109,CLT-03,0,150,18,21,2.362,2023-01-01,2023-06-30
RAT-0110,CLT-03,0,150,21,27,2.312,2023-01-01,2023-06-30
RAT-0111,CLT-03,150,300,18,23,2.039,2023-01-01,2023-06-30
RAT-0112,CLT-03,150,300,23,27,2.059,2023-01-01,2023-06-30
RAT-0113,CLT-03,300,500,18,24,2.001,2023-01-01,2023-06-30
RAT-0114,CLT-03,500,9999,18,25,1.759,2023-01-01,2023-06-30
RAT-0115,CLT-03,0,150,18,21,2.880,2023-07-01,2023-09-30
RAT-0116,CLT-03,0,150,21,27,2.677,2023-07-01,2023-09-30
RAT-0117,CLT-03,150,300,18,23,2.424,2023-07-01,2023-09-30
RAT-0118,CLT-03,150,300,23,27,2.293,2023-07-01,2023-09-30
RAT-0119,CLT-03,300,500,18,24,2.370,2023-07-01,2023-09-30
RAT-0120,CLT-03,500,9999,18,25,2.135,2023-07-01,2023-09-30
RAT-0121,CLT-03,0,150,18,21,2.412,2023-10-01,2023-12-31
RAT-0122,CLT-03,0,150,21,27,2.284,2023-10-01,2023-12-31
RAT-0123,CLT-03,150,300,18,23,2.266,2023-10-01,2023-12-31
RAT-0124,CLT-03,150,300,23,27,2.134,2023-10-01,2023-12-31
RAT-0125,CLT-03,300,500,18,24,1.917,2023-10-01,2023-12-31
RAT-0126,CLT-03,500,9999,18,25,1.788,2023-10-01,2023-12-31
RAT-0127,CLT-03,0,150,18,21,2.491,2024-01-01,2024-06-30
RAT-0128,CLT-03,0,150,21,27,2.468,2024-01-01,2024-06-30
RAT-0129,CLT-03,150,300,18,23,2.327,2024-01-01,2024-06-30
RAT-0130,CLT-03,150,300,23,27,2.077,2024-01-01,2024-06-30
RAT-0131,CLT-03,300,500,18,24,2.093,2024-01-01,2024-06-30
RAT-0132,CLT-03,500,9999,18,25,1.992,2024-01-01,2024-06-30
RAT-0133,CLT-03,0,150,18,21,2.895,2024-07-01,2024-09-30
RAT-0134,CLT-03,0,150,21,27,2.689,2024-07-01,2024-09-30
RAT-0135,CLT-03,150,300,18,23,2.525,2024-07-01,2024-09-30
RAT-0136,CLT-03,150,300,23,27,2.299,2024-07-01,2024-09-30
RAT-0137,CLT-03,300,500,18,24,2.229,2024-07-01,2024-09-30
RAT-0138,CLT-03,500,9999,18,25,2.081,2024-07-01,2024-09-30
RAT-0139,CLT-03,0,150,18,21,2.600,2024-10-01,2024-10-31
RAT-0140,CLT-03,0,150,21,27,2.282,2024-10-01,2024-10-31
RAT-0141,CLT-03,150,300,18,23,2.239,2024-10-01,2024-10-31
RAT-0142,CLT-03,150,300,23,27,2.044,2024-10-01,2024-10-31
RAT-0143,CLT-03,300,500,18,24,2.065,2024-10-01,2024-10-31
RAT-0144,CLT-03,500,9999,18,25,2.046,2024-10-01,2024-10-31
RAT-0145,CLT-04,0,150,18,21,2.224,2022-07-01,2022-09-30
RAT-0146,CLT-04,0,150,21,27,1.992,2022-07-01,2022-09-30
RAT-0147,CLT-04,150,300,18,23,1.993,2022-07-01,2022-09-30
RAT-0148,CLT-04,150,300,23,27,1.934,2022-07-01,2022-09-30
RAT-0149,CLT-04,300,500,18,24,1.729,2022-07-01,2022-09-30
RAT-0150,CLT-04,500,9999,18,25,1.640,2022-07-01,2022-09-30
RAT-0151,CLT-04,0,150,18,21,1.947,2022-10-01,2022-12-31
RAT-0152,CLT-04,0,150,21,27,1.749,2022-10-01,2022-12-31
RAT-0153,CLT-04,150,300,18,23,1.762,2022-10-01,2022-12-31
RAT-0154,CLT-04,150,300,23,27,1.594,2022-10-01,2022-12-31
RAT-0155,CLT-04,300,500,18,24,1.543,2022-10-01,2022-12-31
RAT-0156,CLT-04,500,9999,18,25,1.386,2022-10-01,2022-12-31
RAT-0157,CLT-04,0,150,18,21,2.017,2023-01-01,2023-06-30
RAT-0158,CLT-04,0,150,21,27,2.009,2023-01-01,2023-06-30
RAT-0159,CLT-04,150,300,18,23,1.903,2023-01-01,2023-06-30
RAT-0160,CLT-04,150,300,23,27,1.741,2023-01-01,2023-06-30
RAT-0161,CLT-04,300,500,18,24,1.674,2023-01-01,2023-06-30
RAT-0162,CLT-04,500,9999,18,25,1.655,2023-01-01,2023-06-30
RAT-0163,CLT-04,0,150,18,21,2.471,2023-07-01,2023-09-30
RAT-0164,CLT-04,0,150,21,27,2.311,2023-07-01,2023-09-30
RAT-0165,CLT-04,150,300,18,23,2.178,2023-07-01,2023-09-30
RAT-0166,CLT-04,150,300,23,27,2.153,2023-07-01,2023-09-30
RAT-0167,CLT-04,300,500,18,24,2.043,2023-07-01,2023-09-30
RAT-0168,CLT-04,500,9999,18,25,2.030,2023-07-01,2023-09-30
RAT-0169,CLT-04,0,150,18,21,2.255,2023-10-01,2023-12-31
RAT-0170,CLT-04,0,150,21,27,1.931,2023-10-01,2023-12-31
RAT-0171,CLT-04,150,300,18,23,1.964,2023-10-01,2023-12-31
RAT-0172,CLT-04,150,300,23,27,1.832,2023-10-01,2023-12-31
RAT-0173,CLT-04,300,500,18,24,1.690,2023-10-01,2023-12-31
RAT-0174,CLT-04,500,9999,18,25,1.677,2023-10-01,2023-12-31
RAT-0175,CLT-04,0,150,18,21,2.238,2024-01-01,2024-06-30
RAT-0176,CLT-04,0,150,21,27,2.024,2024-01-01,2024-06-30
RAT-0177,CLT-04,150,300,18,23,1.978,2024-01-01,2024-06-30
RAT-0178,CLT-04,150,300,23,27,1.803,2024-01-01,2024-06-30
RAT-0179,CLT-04,300,500,18,24,1.776,2024-01-01,2024-06-30
RAT-0180,CLT-04,500,9999,18,25,1.692,2024-01-01,2024-06-30
RAT-0181,CLT-04,0,150,18,21,2.484,2024-07-01,2024-09-30
RAT-0182,CLT-04,0,150,21,27,2.359,2024-07-01,2024-09-30
RAT-0183,CLT-04,150,300,18,23,2.200,2024-07-01,2024-09-30
RAT-0184,CLT-04,150,300,23,27,2.208,2024-07-01,2024-09-30
RAT-0185,CLT-04,300,500,18,24,2.099,2024-07-01,2024-09-30
RAT-0186,CLT-04,500,9999,18,25,1.938,2024-07-01,2024-09-30
RAT-0187,CLT-04,0,150,18,21,2.293,2024-10-01,2024-10-31
RAT-0188,CLT-04,0,150,21,27,2.131,2024-10-01,2024-10-31
RAT-0189,CLT-04,150,300,18,23,2.113,2024-10-01,2024-10-31
RAT-0190,CLT-04,150,300,23,27,1.825,2024-10-01,2024-10-31
RAT-0191,CLT-04,300,500,18,24,1.907,2024-10-01,2024-10-31
RAT-0192,CLT-04,500,9999,18,25,1.702,2024-10-01,2024-10-31
RAT-0193,CLT-05,0,150,18,21,3.125,2022-07-01,2022-09-30
RAT-0194,CLT-05,0,150,21,27,2.895,2022-07-01,2022-09-30
RAT-0195,CLT-05,150,300,18,23,2.608,2022-07-01,2022-09-30
RAT-0196,CLT-05,150,300,23,27,2.479,2022-07-01,2022-09-30
RAT-0197,CLT-05,300,500,18,24,2.380,2022-07-01,2022-09-30
RAT-0198,CLT-05,0,150,18,21,2.509,2022-10-01,2022-12-31
RAT-0199,CLT-05,0,150,21,27,2.440,2022-10-01,2022-12-31
RAT-0200,CLT-05,150,300,18,23,2.370,2022-10-01,2022-12-31
RAT-0201,CLT-05,150,300,23,27,2.149,2022-10-01,2022-12-31
RAT-0202,CLT-05,300,500,18,24,2.025,2022-10-01,2022-12-31
RAT-0203,CLT-05,0,150,18,21,2.971,2023-01-01,2023-06-30
RAT-0204,CLT-05,0,150,21,27,2.562,2023-01-01,2023-06-30
RAT-0205,CLT-05,150,300,18,23,2.598,2023-01-01,2023-06-30
RAT-0206,CLT-05,150,300,23,27,2.485,2023-01-01,2023-06-30
RAT-0207,CLT-05,300,500,18,24,2.220,2023-01-01,2023-06-30
RAT-0208,CLT-05,0,150,18,21,3.359,2023-07-01,2023-09-30
RAT-0209,CLT-05,0,150,21,27,3.091,2023-07-01,2023-09-30
RAT-0210,CLT-05,150,300,18,23,3.215,2023-07-01,2023-09-30
RAT-0211,CLT-05,150,300,23,27,2.780,2023-07-01,2023-09-30
RAT-0212,CLT-05,300,500,18,24,2.767,2023-07-01,2023-09-30
RAT-0213,CLT-05,0,150,18,21,2.991,2023-10-01,2023-12-31
RAT-0214,CLT-05,0,150,21,27,2.771,2023-10-01,2023-12-31
RAT-0215,CLT-05,150,300,18,23,2.530,2023-10-01,2023-12-31
RAT-0216,CLT-05,150,300,23,27,2.580,2023-10-01,2023-12-31
RAT-0217,CLT-05,300,500,18,24,2.434,2023-10-01,2023-12-31
RAT-0218,CLT-05,0,150,18,21,2.927,2024-01-01,2024-06-30
RAT-0219,CLT-05,0,150,21,27,2.718,2024-01-01,2024-06-30
RAT-0220,CLT-05,150,300,18,23,2.689,2024-01-01,2024-06-30
RAT-0221,CLT-05,150,300,23,27,2.569,2024-01-01,2024-06-30
RAT-0222,CLT-05,300,500,18,24,2.454,2024-01-01,2024-06-30
RAT-0223,CLT-05,0,150,18,21,3.235,2024-07-01,2024-09-30
RAT-0224,CLT-05,0,150,21,27,3.143,2024-07-01,2024-09-30
RAT-0225,CLT-05,150,300,18,23,3.176,2024-07-01,2024-09-30
RAT-0226,CLT-05,150,300,23,27,2.991,2024-07-01,2024-09-30
RAT-0227,CLT-05,300,500,18,24,2.635,2024-07-01,2024-09-30
RAT-0228,CLT-05,0,150,18,21,3.015,2024-10-01,2024-10-31
RAT-0229,CLT-05,0,150,21,27,2.927,2024-10-01,2024-10-31
RAT-0230,CLT-05,150,300,18,23,2.793,2024-10-01,2024-10-31
RAT-0231,CLT-05,150,300,23,27,2.539,2024-10-01,2024-10-31
RAT-0232,CLT-05,300,500,18,24,2.507,2024-10-01,2024-10-31
RAT-0233,CLT-06,0,150,18,21,2.909,2022-07-01,2022-09-30
RAT-0234,CLT-06,0,150,21,27,2.760,2022-07-01,2022-09-30
RAT-0235,CLT-06,150,300,18,23,2.581,2022-07-01,2022-09-30
RAT-0236,CLT-06,150,300,23,27,2.463,2022-07-01,2022-09-30
RAT-0237,CLT-06,300,500,18,24,2.224,2022-07-01,2022-09-30
RAT-0238,CLT-06,500,9999,18,25,2.095,2022-07-01,2022-09-30
RAT-0239,CLT-06,0,150,18,21,2.447,2022-10-01,2022-12-31
RAT-0240,CLT-06,0,150,21,27,2.161,2022-10-01,2022-12-31
RAT-0241,CLT-06,150,300,18,23,2.115,2022-10-01,2022-12-31
RAT-0242,CLT-06,150,300,23,27,1.938,2022-10-01,2022-12-31
RAT-0243,CLT-06,300,500,18,24,2.018,2022-10-01,2022-12-31
RAT-0244,CLT-06,500,9999,18,25,1.889,2022-10-01,2022-12-31
RAT-0245,CLT-06,0,150,18,21,2.638,2023-01-01,2023-06-30
RAT-0246,CLT-06,0,150,21,27,2.543,2023-01-01,2023-06-30
RAT-0247,CLT-06,150,300,18,23,2.446,2023-01-01,2023-06-30
RAT-0248,CLT-06,150,300,23,27,2.186,2023-01-01,2023-06-30
RAT-0249,CLT-06,300,500,18,24,2.094,2023-01-01,2023-06-30
RAT-0250,CLT-06,500,9999,18,25,2.099,2023-01-01,2023-06-30
RAT-0251,CLT-06,0,150,18,21,3.146,2023-07-01,2023-09-30
RAT-0252,CLT-06,0,150,21,27,2.854,2023-07-01,2023-09-30
RAT-0253,CLT-06,150,300,18,23,2.851,2023-07-01,2023-09-30
RAT-0254,CLT-06,150,300,23,27,2.602,2023-07-01,2023-09-30
RAT-0255,CLT-06,300,500,18,24,2.703,2023-07-01,2023-09-30
RAT-0256,CLT-06,500,9999,18,25,2.425,2023-07-01,2023-09-30
RAT-0257,CLT-06,0,150,18,21,2.820,2023-10-01,2023-12-31
RAT-0258,CLT-06,0,150,21,27,2.663,2023-10-01,2023-12-31
RAT-0259,CLT-06,150,300,18,23,2.386,2023-10-01,2023-12-31
RAT-0260,CLT-06,150,300,23,27,2.339,2023-10-01,2023-12-31
RAT-0261,CLT-06,300,500,18,24,2.204,2023-10-01,2023-12-31
RAT-0262,CLT-06,500,9999,18,25,2.066,2023-10-01,2023-12-31
RAT-0263,CLT-06,0,150,18,21,2.706,2024-01-01,2024-06-30
RAT-0264,CLT-06,0,150,21,27,2.730,2024-01-01,2024-06-30
RAT-0265,CLT-06,150,300,18,23,2.502,2024-01-01,2024-06-30
RAT-0266,CLT-06,150,300,23,27,2.385,2024-01-01,2024-06-30
RAT-0267,CLT-06,300,500,18,24,2.345,2024-01-01,2024-06-30
RAT-0268,CLT-06,500,9999,18,25,2.261,2024-01-01,2024-06-30
RAT-0269,CLT-06,0,150,18,21,3.107,2024-07-01,2024-09-30
RAT-0270,CLT-06,0,150,21,27,2.830,2024-07-01,2024-09-30
RAT-0271,CLT-06,150,300,18,23,2.945,2024-07-01,2024-09-30
RAT-0272,CLT-06,150,300,23,27,2.599,2024-07-01,2024-09-30
RAT-0273,CLT-06,300,500,18,24,2.596,2024-07-01,2024-09-30
RAT-0274,CLT-06,500,9999,18,25,2.561,2024-07-01,2024-09-30
RAT-0275,CLT-06,0,150,18,21,2.720,2024-10-01,2024-10-31
RAT-0276,CLT-06,0,150,21,27,2.705,2024-10-01,2024-10-31
RAT-0277,CLT-06,150,300,18,23,2.521,2024-10-01,2024-10-31
RAT-0278,CLT-06,150,300,23,27,2.471,2024-10-01,2024-10-31
RAT-0279,CLT-06,300,500,18,24,2.308,2024-10-01,2024-10-31
RAT-0280,CLT-06,500,9999,18,25,2.311,2024-10-01,2024-10-31
RAT-0281,CLT-07,0,150,18,21,1.912,2022-07-01,2022-09-30
RAT-0282,CLT-07,0,150,21,27,1.943,2022-07-01,2022-09-30
RAT-0283,CLT-07,150,300,18,23,1.730,2022-07-01,2022-09-30
RAT-0284,CLT-07,150,300,23,27,1.599,2022-07-01,2022-09-30
RAT-0285,CLT-07,300,500,18,24,1.610,2022-07-01,2022-09-30
RAT-0286,CLT-07,0,150,18,21,2.262,2023-07-01,2023-09-30
RAT-0287,CLT-07,0,150,21,27,2.187,2023-07-01,2023-09-30
RAT-0288,CLT-07,150,300,18,23,2.066,2023-07-01,2023-09-30
RAT-0289,CLT-07,150,300,23,27,1.986,2023-07-01,2023-09-30
RAT-0290,CLT-07,300,500,18,24,1.883,2023-07-01,2023-09-30
RAT-0291,CLT-07,0,150,18,21,2.173,2024-07-01,2024-09-30
RAT-0292,CLT-07,0,150,21,27,2.091,2024-07-01,2024-09-30
RAT-0293,CLT-07,150,300,18,23,2.103,2024-07-01,2024-09-30
RAT-0294,CLT-07,150,300,23,27,1.968,2024-07-01,2024-09-30
RAT-0295,CLT-07,300,500,18,24,1.848,2024-07-01,2024-09-30
RAT-0296,CLT-08,0,150,18,21,2.072,2022-07-01,2022-09-30
RAT-0297,CLT-08,0,150,21,27,1.844,2022-07-01,2022-09-30
RAT-0298,CLT-08,150,300,18,23,1.905,2022-07-01,2022-09-30
RAT-0299,CLT-08,150,300,23,27,1.719,2022-07-01,2022-09-30
RAT-0300,CLT-08,300,500,18,24,1.689,2022-07-01,2022-09-30
RAT-0301,CLT-08,0,150,18,21,2.275,2023-07-01,2023-09-30
RAT-0302,CLT-08,0,150,21,27,2.219,2023-07-01,2023-09-30
RAT-0303,CLT-08,150,300,18,23,2.091,2023-07-01,2023-09-30
RAT-0304,CLT-08,150,300,23,27,1.891,2023-07-01,2023-09-30
RAT-0305,CLT-08,300,500,18,24,1.918,2023-07-01,2023-09-30
RAT-0306,CLT-08,0,150,18,21,2.270,2024-07-01,2024-09-30
RAT-0307,CLT-08,0,150,21,27,2.214,2024-07-01,2024-09-30
RAT-0308,CLT-08,150,300,18,23,1.997,2024-07-01,2024-09-30
RAT-0309,CLT-08,150,300,23,27,1.950,2024-07-01,2024-09-30
RAT-0310,CLT-08,300,500,18,24,1.855,2024-07-01,2024-09-30
RAT-0311,CLT-09,0,150,18,21,2.081,2022-07-01,2022-09-30
RAT-0312,CLT-09,0,150,21,27,1.855,2022-07-01,2022-09-30
RAT-0313,CLT-09,150,300,18,23,1.756,2022-07-01,2022-09-30
RAT-0314,CLT-09,150,300,23,27,1.745,2022-07-01,2022-09-30
RAT-0315,CLT-09,300,500,18,24,1.658,2022-07-01,2022-09-30
RAT-0316,CLT-09,0,150,18,21,2.246,2023-07-01,2023-09-30
RAT-0317,CLT-09,0,150,21,27,2.136,2023-07-01,2023-09-30
RAT-0318,CLT-09,150,300,18,23,2.090,2023-07-01,2023-09-30
RAT-0319,CLT-09,150,300,23,27,1.929,2023-07-01,2023-09-30
RAT-0320,CLT-09,300,500,18,24,1.918,2023-07-01,2023-09-30
RAT-0321,CLT-09,0,150,18,21,2.374,2024-07-01,2024-09-30
RAT-0322,CLT-09,0,150,21,27,2.183,2024-07-01,2024-09-30
RAT-0323,CLT-09,150,300,18,23,2.071,2024-07-01,2024-09-30
RAT-0324,CLT-09,150,300,23,27,1.871,2024-07-01,2024-09-30
RAT-0325,CLT-09,300,500,18,24,1.880,2024-07-01,2024-09-30
RAT-0326,CLT-10,0,150,18,21,1.986,2022-07-01,2022-09-30
RAT-0327,CLT-10,0,150,21,27,1.769,2022-07-01,2022-09-30
RAT-0328,CLT-10,150,300,18,23,1.842,2022-07-01,2022-09-30
RAT-0329,CLT-10,150,300,23,27,1.610,2022-07-01,2022-09-30
RAT-0330,CLT-10,300,500,18,24,1.569,2022-07-01,2022-09-30
RAT-0331,CLT-10,0,150,18,21,2.297,2023-07-01,2023-09-30
RAT-0332,CLT-10,0,150,21,27,2.021,2023-07-01,2023-09-30
RAT-0333,CLT-10,150,300,18,23,1.911,2023-07-01,2023-09-30
RAT-0334,CLT-10,150,300,23,27,1.969,2023-07-01,2023-09-30
RAT-0335,CLT-10,300,500,18,24,1.836,2023-07-01,2023-09-30
RAT-0336,CLT-10,0,150,18,21,2.271,2024-07-01,2024-09-30
RAT-0337,CLT-10,0,150,21,27,2.070,2024-07-01,2024-09-30
RAT-0338,CLT-10,150,300,18,23,2.063,2024-07-01,2024-09-30
RAT-0339,CLT-10,150,300,23,27,1.878,2024-07-01,2024-09-30
RAT-0340,CLT-10,300,500,18,24,1.842,2024-07-01,2024-09-30
RAT-0341,CLT-11,0,150,18,21,2.066,2022-07-01,2022-09-30
RAT-0342,CLT-11,0,150,21,27,1.945,2022-07-01,2022-09-30
RAT-0343,CLT-11,150,300,18,23,1.811,2022-07-01,2022-09-30
RAT-0344,CLT-11,150,300,23,27,1.794,2022-07-01,2022-09-30
RAT-0345,CLT-11,300,500,18,24,1.770,2022-07-01,2022-09-30
RAT-0346,CLT-11,500,9999,18,25,1.674,2022-07-01,2022-09-30
RAT-0347,CLT-11,0,150,18,21,2.465,2023-07-01,2023-09-30
RAT-0348,CLT-11,0,150,21,27,2.293,2023-07-01,2023-09-30
RAT-0349,CLT-11,150,300,18,23,2.072,2023-07-01,2023-09-30
RAT-0350,CLT-11,150,300,23,27,2.061,2023-07-01,2023-09-30
RAT-0351,CLT-11,300,500,18,24,1.972,2023-07-01,2023-09-30
RAT-0352,CLT-11,500,9999,18,25,1.828,2023-07-01,2023-09-30
RAT-0353,CLT-11,0,150,18,21,2.369,2024-07-01,2024-09-30
RAT-0354,CLT-11,0,150,21,27,2.306,2024-07-01,2024-09-30
